Identifier	FarmType	SoilType	Fixed	Fodder	FUKey	rotationMax	rotationMin	Nnorm	sellingPrice	subsidy	priceLM	priceHerb	priceFi	priceG	priceH	priceW	alfa	beta1	beta2	alfaHerb	betaHerb 	alfaFi	betaFi	alfaG	betaG	alfaH	betaH	alfaW	betaW
WBarley	Plant	Other	NO	NO	0	35.73	0	157	93	2240	3123	300	430	30	0	0	21.4042	0.2785	-0.0007	9.6296	13	10.989	10	2.2222	3	0	0	0	0
WWheat	Plant	Other	NO	NO	0	64.61	0	171	94	2240	3276	300	358	30	0	0	37.5735	0.2676	-0.0006	12.593	17	23.077	21	2.5926	3.5	0	0	0	0
WRye	Plant	Other	NO	NO	0	24.49	0	129	72	2240	2869	300	352	30	0	0	23.9105	0.3517	-0.0012	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
Triticale	Plant	Other	NO	NO	0	8.33	0	145	80	2240	2869	300	352	30	0	0	17.9608	0.2425	-0.0005	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
SRape	Plant	Other	NO	NO	0	1.92	0	122	163	2240	2950	406	96	0	170	0	20.7141	0.0375	-0.0001	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
WRape	Plant	Other	NO	NO	0	15.01	0	164	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	0	0	14.516	9	0	0	3.1579	3	0	0
OOilseed	Plant	Other	NO	NO	0	0	0	123	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
Peas	Plant	Other	YES	NO	0	30.23	0	0	97	2240	3223	235	83	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
OLSeed	Plant	Other	YES	NO	0	0	0	0	97	2240	3223	100	100	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
GrassSeed	Plant	Other	NO	NO	0	28.57	0	124	0	2240	2924	460	400	0	0	0	683.35	7.3975	-0.0256	40	50	17.647	3	0	0	0	0	0	0
Potato	Plant	Other	YES	NO	0	10.41	0	184	0	2240	11213	286	198	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
PotatoFood	Plant	Other	YES	NO	0	0	0	155	0	2240	14570	286	193	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
SugarBeet	Plant	Other	YES	NO	0	0	0	131	0	2240	8037	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
GrassClover	Plant	Other	NO	NO	0	60.26	0	371	0	2240	2646	300	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
OLSeedCut	Plant	Other	NO	NO	0	0	0	0	0	2240	3223	717	80	30	0	0	58.939	0.1586	-0.0002	5.9	12	3.1496	4	1.4778	3	0	0	0	0
SCerealSil	Plant	Other	NO	NO	0	23.22	0	132	0	2240	4612	232	246	30	0	0	37.4708	0.4569	-0.0012	7.767	8	8.0645	5	2.9126	3	0	0	0	0
PeasSil	Plant	Other	NO	NO	0	0	0	0	0	2240	4612	235	170	30	0	0	37.4708	0.4569	-0.0012	5.9	12	3.1496	4	1.4778	3	0	0	0	0
MaizeSil	Plant	Other	NO	NO	0	14.55	0	181	0	2240	5649	445	80	30	170	150	137.0854	0.2626	-0.0008	8.1761	13	150	3	2.5157	4	1.8868	3	3.1447	5
WCerealSil	Plant	Other	NO	NO	0	0	0	181	0	2240	4612	232	246	30	0	0	37.4708	0.4569	-0.0012	9.6296	13	8.0645	5	2.9126	3	0	0	0	0
SCerealG	Plant	Other	NO	NO	0	0	0	107	0	2240	3018	165	239	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
PerGrassLow	Plant	Other	NO	NO	0	13.05	0	69	0	500	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
PerGrassNorm	Plant	Other	NO	NO	0	7.36	0	133	0	500	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv1	Plant	Other	NO	NO	0	0	0	80	0	1920	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv2	Plant	Other	NO	NO	0	33.75	0	0	0	1880	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassRot	Plant	Other	NO	NO	0	3.54	0	344	0	2240	2764	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
Setaside	Plant	Other	YES	NO	0	15.17	0	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uncult	Plant	Other	YES	NO	0	11.47	0	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OUncult	Plant	Other	YES	NO	0	0	0	0	0	2240	534	100	100	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FodderBeet	Plant	Other	NO	NO	0	0	0	184	0	2240	10191	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
CloverGrz	Plant	Other	YES	NO	0	0	0	371	0	2240	2646	717	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
Veg	Plant	Other	YES	NO	0	19.28	0	265	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Fruit	Plant	Other	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
FruitTree	Plant	Other	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
OSpecCrops	Plant	Other	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
ChrisTree	Plant	Other	YES	NO	0	6.42	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
EnergyFor	Plant	Other	YES	NO	0	5.75	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Other	Plant	Other	YES	NO	0	1.69	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
SBarley	Plant	Clay	NO	NO	0	38.35	0	122	83	2240	3018	165	239	30	0	0	32.6273	0.3097	-0.001	7.767	8	25.806	16	2.472	2.5	0	0	0	0
Oats	Plant	Clay	NO	NO	0	1.57	0	93	75	2240	3018	165	200	30	0	0	37.4923	0.2897	-0.0011	8.7379	9	8.7379	8	1.8519	2.5	0	0	0	0
OSCrops	Plant	Clay	YES	NO	0	0	0	96	83	2240	3018	445	80	30	0	0	32.6273	0.3097	-0.001	7.767	8	25.806	16	2.472	2.5	0	0	0	0
WBarley	Plant	Clay	NO	NO	0	17.82	0	151	93	2240	3123	300	430	30	0	0	29.9649	0.318	-0.0008	9.6296	13	10.989	10	2.2222	3	0	0	0	0
WWheat	Plant	Clay	NO	NO	0	75.14	0	165	94	2240	3276	300	358	30	0	0	41.6451	0.314	-0.0007	12.593	17	23.077	21	2.5926	3.5	0	0	0	0
WRye	Plant	Clay	NO	NO	0	0	0	121	72	2240	2869	300	352	30	0	0	23.9105	0.3517	-0.0012	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
Triticale	Plant	Clay	NO	NO	0	62.18	0	132	80	2240	2869	300	352	30	0	0	17.9608	0.2425	-0.0005	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
SRape	Plant	Clay	NO	NO	0	0	0	101	163	2240	2950	406	96	0	170	0	20.7141	0.0375	-0.0001	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
WRape	Plant	Clay	NO	NO	0	15.99	0	171	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	0	0	14.516	9	0	0	3.1579	3	0	0
OOilseed	Plant	Clay	NO	NO	0	0	0	101	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
Peas	Plant	Clay	YES	NO	0	0	0	0	97	2240	3223	235	83	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
OLSeed	Plant	Clay	YES	NO	0	0	0	0	97	2240	3223	100	100	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
GrassSeed	Plant	Clay	NO	NO	0	0	0	124	934.67	2240	2924	460	400	0	0	0	683.35	7.3975	-0.0256	40	50	17.647	3	0	0	0	0	0	0
Potato	Plant	Clay	YES	NO	0	0	0	163	27	2240	11213	286	198	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
PotatoFood	Plant	Clay	YES	NO	0	0	0	134	104	2240	14570	286	193	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
SugarBeet	Plant	Clay	YES	NO	0	0	0	110	31	2240	8037	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
GrassClover	Plant	Clay	NO	NO	0	12.82	0	345	0	2240	2646	300	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
OLSeedCut	Plant	Clay	NO	NO	0	0	0	0	0	2240	3223	717	80	30	0	0	58.939	0.1586	-0.0002	5.9	12	3.1496	4	1.4778	3	0	0	0	0
SCerealSil	Plant	Clay	NO	NO	0	0	0	117	0	2240	4612	232	246	30	0	0	45.9	0.5533	-0.0013	7.767	8	8.0645	5	2.9126	3	0	0	0	0
PeasSil	Plant	Clay	NO	NO	0	0	0	0	0	2240	4612	235	170	30	0	0	45.9	0.5533	-0.0013	5.9	12	3.1496	4	1.4778	3	0	0	0	0
MaizeSil	Plant	Clay	NO	NO	0	0	0	158	0	2240	5649	445	80	30	170	150	137.0854	0.2626	-0.0008	8.1761	13	150	3	2.5157	4	1.8868	3	3.1447	5
WCerealSil	Plant	Clay	NO	NO	0	0	0	176	0	2240	4612	232	246	30	0	0	45.9	0.5533	-0.0013	9.6296	13	8.0645	5	2.9126	3	0	0	0	0
SCerealG	Plant	Clay	NO	NO	0	0	0	92	0	2240	3018	165	239	30	0	0	32.6273	0.3097	-0.001	7.767	8	25.806	16	2.472	2.5	0	0	0	0
PerGrassLow	Plant	Clay	NO	NO	0	7.09	0	69	0	500	2606	300	80	0	0	0	33.25	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
PerGrassNorm	Plant	Clay	NO	NO	0	8.9	0	133	0	500	2606	300	80	0	0	0	33.25	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv1	Plant	Clay	NO	NO	0	0	0	80	0	1920	2606	300	80	0	0	0	33.25	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv2	Plant	Clay	NO	NO	0	0	0	0	0	1880	2606	300	80	0	0	0	33.25	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassRot	Plant	Clay	NO	NO	0	0	0	326	0	2240	2764	300	80	0	0	0	33.25	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
Setaside	Plant	Clay	YES	NO	0	11.3	0	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uncult	Plant	Clay	YES	NO	0	0	0	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OUncult	Plant	Clay	YES	NO	0	0	0	0	0	2240	534	100	100	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FodderBeet	Plant	Clay	NO	NO	0	0	0	171	0	2240	10191	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
CloverGrz	Plant	Clay	YES	NO	0	0	0	345	0	2240	2646	717	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
Veg	Plant	Clay	YES	NO	0	0	0	240	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Fruit	Plant	Clay	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
FruitTree	Plant	Clay	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
OSpecCrops	Plant	Clay	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
ChrisTree	Plant	Clay	YES	NO	0	11.17	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
EnergyFor	Plant	Clay	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Other	Plant	Clay	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
SBarley	Plant	Sand	NO	NO	0	46.57	0	135	83	2240	3018	165	239	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
Oats	Plant	Sand	NO	NO	0	5.32	0	114	75	2240	3018	165	200	30	0	0	27.54	0.2998	-0.0012	8.7379	9	8.7379	8	1.8519	2.5	0	0	0	0
OSCrops	Plant	Sand	YES	NO	0	3.07	0	109	83	2240	3018	445	80	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
WBarley	Plant	Sand	NO	NO	0	28.63	0	157	93	2240	3123	300	430	30	0	0	21.4042	0.2785	-0.0007	9.6296	13	10.989	10	2.2222	3	0	0	0	0
WWheat	Plant	Sand	NO	NO	0	100	0	171	94	2240	3276	300	358	30	0	0	37.5735	0.2676	-0.0006	12.593	17	23.077	21	2.5926	3.5	0	0	0	0
WRye	Plant	Sand	NO	NO	0	13.67	0	129	72	2240	2869	300	352	30	0	0	23.9105	0.3517	-0.0012	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
Triticale	Plant	Sand	NO	NO	0	26.45	0	145	80	2240	2869	300	352	30	0	0	17.9608	0.2425	-0.0005	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
SRape	Plant	Sand	NO	NO	0	0	0	122	163	2240	2950	406	96	0	170	0	20.7141	0.0375	-0.0001	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
WRape	Plant	Sand	NO	NO	0	9.13	0	164	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	0	0	14.516	9	0	0	3.1579	3	0	0
OOilseed	Plant	Sand	NO	NO	0	0	0	123	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
Peas	Plant	Sand	YES	NO	0	22.45	0	0	97	2240	3223	235	83	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
OLSeed	Plant	Sand	YES	NO	0	43.84	0	0	97	2240	3223	100	100	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
GrassSeed	Plant	Sand	NO	NO	0	31.68	0	124	0	2240	2924	460	400	0	0	0	683.35	7.3975	-0.0256	40	50	17.647	3	0	0	0	0	0	0
Potato	Plant	Sand	YES	NO	0	0	0	184	0	2240	11213	286	198	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
PotatoFood	Plant	Sand	YES	NO	0	23.56	0	155	0	2240	14570	286	193	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
SugarBeet	Plant	Sand	YES	NO	0	0	0	131	0	2240	8037	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
GrassClover	Plant	Sand	NO	NO	0	85.54	0	371	0	2240	2646	300	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
OLSeedCut	Plant	Sand	NO	NO	0	6.37	0	0	0	2240	3223	717	80	30	0	0	58.939	0.1586	-0.0002	5.9	12	3.1496	4	1.4778	3	0	0	0	0
SCerealSil	Plant	Sand	NO	NO	0	19.43	0	132	0	2240	4612	232	246	30	0	0	37.4708	0.4569	-0.0012	7.767	8	8.0645	5	2.9126	3	0	0	0	0
PeasSil	Plant	Sand	NO	NO	0	42.92	0	0	0	2240	4612	235	170	30	0	0	37.4708	0.4569	-0.0012	5.9	12	3.1496	4	1.4778	3	0	0	0	0
MaizeSil	Plant	Sand	NO	NO	0	2.04	0	181	0	2240	5649	445	80	30	170	150	137.0854	0.2626	-0.0008	8.1761	13	150	3	2.5157	4	1.8868	3	3.1447	5
WCerealSil	Plant	Sand	NO	NO	0	16.57	0	181	0	2240	4612	232	246	30	0	0	37.4708	0.4569	-0.0012	9.6296	13	8.0645	5	2.9126	3	0	0	0	0
SCerealG	Plant	Sand	NO	NO	0	0	0	107	0	2240	3018	165	239	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
PerGrassLow	Plant	Sand	NO	NO	0	35.17	0	69	0	500	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
PerGrassNorm	Plant	Sand	NO	NO	0	10.08	0	133	0	500	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv1	Plant	Sand	NO	NO	0	18.18	0	80	0	1920	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv2	Plant	Sand	NO	NO	0	13.23	0	0	0	1880	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassRot	Plant	Sand	NO	NO	0	6.42	0	344	0	2240	2764	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
Setaside	Plant	Sand	YES	NO	0	27.4	0	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uncult	Plant	Sand	YES	NO	0	37.15	0	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OUncult	Plant	Sand	YES	NO	0	13.7	0	0	0	2240	534	100	100	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FodderBeet	Plant	Sand	NO	NO	0	1.57	0	184	0	2240	10191	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
CloverGrz	Plant	Sand	YES	NO	0	6.78	0	371	0	2240	2646	717	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
Veg	Plant	Sand	YES	NO	0	79.16	0	265	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Fruit	Plant	Sand	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
FruitTree	Plant	Sand	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
OSpecCrops	Plant	Sand	YES	NO	0	26.68	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
ChrisTree	Plant	Sand	YES	NO	0	74.52	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
EnergyFor	Plant	Sand	YES	NO	0	2.62	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Other	Plant	Sand	YES	NO	0	31.51	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
SBarley	Pig	Other	NO	YES	102	40.68	0	135	0	2240	3018	165	239	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
Oats	Pig	Other	NO	YES	87	0	0	114	0	2240	3018	165	200	30	0	0	27.54	0.2998	-0.0012	8.7379	9	8.7379	8	1.8519	2.5	0	0	0	0
OSCrops	Pig	Other	YES	NO	0	0	0	109	83	2240	3018	445	80	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
WBarley	Pig	Other	NO	YES	103	15.8	0	157	0	2240	3123	300	430	30	0	0	21.4042	0.2785	-0.0007	9.6296	13	10.989	10	2.2222	3	0	0	0	0
WWheat	Pig	Other	NO	NO	0	69.35	10.58	171	94	2240	3276	300	358	30	0	0	37.5735	0.2676	-0.0006	12.593	17	23.077	21	2.5926	3.5	0	0	0	0
WRye	Pig	Other	NO	NO	0	0	0	129	72	2240	2869	300	352	30	0	0	23.9105	0.3517	-0.0012	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
Triticale	Pig	Other	NO	NO	0	5.6	0	145	80	2240	2869	300	352	30	0	0	17.9608	0.2425	-0.0005	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
SRape	Pig	Other	NO	NO	0	0	0	122	163	2240	2950	406	96	0	170	0	20.7141	0.0375	-0.0001	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
WRape	Pig	Other	NO	NO	0	16.54	0	164	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	0	0	14.516	9	0	0	3.1579	3	0	0
OOilseed	Pig	Other	NO	NO	0	0	0	123	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
Peas	Pig	Other	YES	NO	0	11.85	0	0	97	2240	3223	235	83	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
OLSeed	Pig	Other	YES	NO	0	0	0	0	97	2240	3223	100	100	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
GrassSeed	Pig	Other	NO	NO	0	0	0	124	0	2240	2924	460	400	0	0	0	683.35	7.3975	-0.0256	40	50	17.647	3	0	0	0	0	0	0
Potato	Pig	Other	YES	NO	0	0	0	184	0	2240	11213	286	198	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
PotatoFood	Pig	Other	YES	NO	0	0	0	155	0	2240	14570	286	193	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
SugarBeet	Pig	Other	YES	NO	0	0	0	131	0	2240	8037	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
GrassClover	Pig	Other	YES	NO	0	23.2	0	371	0	2240	2646	300	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
OLSeedCut	Pig	Other	NO	YES	86.957	0	0	0	0	2240	3223	717	80	30	0	0	58.939	0.1586	-0.0002	5.9	12	3.1496	4	1.4778	3	0	0	0	0
SCerealSil	Pig	Other	NO	YES	76.923	0	0	132	0	2240	4612	232	246	30	0	0	37.4708	0.4569	-0.0012	7.767	8	8.0645	5	2.9126	3	0	0	0	0
PeasSil	Pig	Other	NO	YES	86.957	0	0	0	0	2240	4612	235	170	30	0	0	37.4708	0.4569	-0.0012	5.9	12	3.1496	4	1.4778	3	0	0	0	0
MaizeSil	Pig	Other	NO	YES	85.47	0.57	0	181	0	2240	5649	445	80	30	170	150	137.0854	0.2626	-0.0008	8.1761	13	150	3	2.5157	4	1.8868	3	3.1447	5
WCerealSil	Pig	Other	NO	YES	76.923	0	0	181	0	2240	4612	232	246	30	0	0	37.4708	0.4569	-0.0012	9.6296	13	8.0645	5	2.9126	3	0	0	0	0
SCerealG	Pig	Other	NO	YES	76.923	0	0	107	0	2240	3018	165	239	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
PerGrassLow	Pig	Other	NO	NO	0	2.39	0	69	0	500	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
PerGrassNorm	Pig	Other	NO	NO	0	5.36	0	133	0	500	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv1	Pig	Other	NO	NO	0	0	0	80	0	1920	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv2	Pig	Other	NO	NO	0	0	0	0	0	1880	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassRot	Pig	Other	NO	NO	0	15.91	0	344	0	2240	2764	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
Setaside	Pig	Other	YES	NO	0	10.31	0	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uncult	Pig	Other	YES	NO	0	0.5	0	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OUncult	Pig	Other	YES	NO	0	0	0	0	0	2240	534	100	100	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FodderBeet	Pig	Other	NO	YES	43.478	0	0	184	0	2240	10191	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
CloverGrz	Pig	Other	YES	NO	0	0	0	371	0	2240	2646	717	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
Veg	Pig	Other	YES	NO	0	0	0	265	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Fruit	Pig	Other	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
FruitTree	Pig	Other	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
OSpecCrops	Pig	Other	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
ChrisTree	Pig	Other	YES	NO	0	0.37	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
EnergyFor	Pig	Other	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Other	Pig	Other	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
SBarley	Pig	Clay	NO	YES	102	69.37	0	122	0	2240	3018	165	239	30	0	0	32.6273	0.3097	-0.001	7.767	8	25.806	16	2.472	2.5	0	0	0	0
Oats	Pig	Clay	NO	YES	87	0	0	93	0	2240	3018	165	200	30	0	0	37.4923	0.2897	-0.0011	8.7379	9	8.7379	8	1.8519	2.5	0	0	0	0
OSCrops	Pig	Clay	YES	NO	0	0	0	96	83	2240	3018	445	80	30	0	0	32.6273	0.3097	-0.001	7.767	8	25.806	16	2.472	2.5	0	0	0	0
WBarley	Pig	Clay	NO	YES	103	14.85	0	151	0	2240	3123	300	430	30	0	0	29.9649	0.318	-0.0008	9.6296	13	10.989	10	2.2222	3	0	0	0	0
WWheat	Pig	Clay	NO	NO	0	70.94	0	165	94	2240	3276	300	358	30	0	0	41.6451	0.314	-0.0007	12.593	17	23.077	21	2.5926	3.5	0	0	0	0
WRye	Pig	Clay	NO	NO	0	0	0	121	72	2240	2869	300	352	30	0	0	23.9105	0.3517	-0.0012	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
Triticale	Pig	Clay	NO	NO	0	0	0	132	80	2240	2869	300	352	30	0	0	17.9608	0.2425	-0.0005	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
SRape	Pig	Clay	NO	NO	0	0	0	101	163	2240	2950	406	96	0	170	0	20.7141	0.0375	-0.0001	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
WRape	Pig	Clay	NO	NO	0	14.59	0	171	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	0	0	14.516	9	0	0	3.1579	3	0	0
